nopur,b1,b2,b3,b4,feat1,feat2,feat3,feat4,price1,price2,price3,price4,ipt,id,exp,inccat,flsize,qty
0,0,0,0,1,0,0,0,0,.108,.081,.061,.079,20,1,40.9,9,2,2
1,0,0,0,0,0,0,0,0,.108,.088,.05,.079,3,1,8.83,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.05,.079,1,1,3.88,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.05,.079,4,1,.78,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.05,.079,1,1,39.24,9,2,0
1,0,0,0,0,0,0,0,0,.108,.09,.061,.079,2,1,19.27,9,2,0
1,0,0,0,0,0,0,0,0,.103,.09,.033,.079,4,1,2.35,9,2,0
1,0,0,0,0,0,0,0,0,.103,.09,.033,.079,1,1,3.43,9,2,0
1,0,0,0,0,0,0,0,0,.11,.081,.066,.079,1,1,66.98,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.079,1,1,21.94,9,2,0
1,0,0,0,0,0,0,0,0,.103,.09,.05,.079,5,1,15.5,9,2,0
1,0,0,0,0,0,0,0,0,.108,.09,.061,.079,1,1,6.99,9,2,0
0,0,1,0,0,0,0,0,0,.108,.098,.064,.075,5,1,16.81,9,2,2
1,0,0,0,0,0,0,0,0,.108,.081,.05,.079,5,1,46.99,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.05,.079,2,1,52.19,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.079,1,1,11.82,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.079,7,1,43.89,9,2,0
1,0,0,0,0,0,0,0,0,.098,.09,.05,.079,8,1,7.77,9,2,0
1,0,0,0,0,0,0,0,0,.108,.09,.066,.079,3,1,47.25,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,10,1,3.49,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.079,3,1,26.45,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.05,.079,3,1,82.64,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.05,.079,8,1,27.68,9,2,0
1,0,0,0,0,0,0,0,1,.108,.081,.061,.079,5,1,19.64,9,2,0
1,0,0,0,0,0,0,0,0,.098,.09,.049,.079,4,1,30.82,9,2,0
1,0,0,0,0,0,0,0,1,.115,.092,.061,.074,7,1,39.41,9,2,0
1,0,0,0,0,0,0,0,0,.098,.09,.049,.079,7,1,42.06,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,2,1,4.37,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,3,1,5.08,9,2,0
1,0,0,0,0,0,0,0,0,.108,.09,.066,.086,2,1,33.31,9,2,0
0,0,1,0,0,0,0,0,0,.108,.098,.061,.086,1,1,4.06,9,2,2
0,0,1,0,0,0,0,0,0,.108,.098,.061,.086,4,1,34.46,9,2,2
1,0,0,0,0,0,0,0,0,.103,.09,.049,.079,2,1,13.48,9,2,0
0,0,1,0,0,0,0,0,0,.125,.098,.049,.079,7,1,8.39,9,2,2
1,0,0,0,0,0,0,0,0,.108,.084,.061,.086,4,1,40.78,9,2,0
1,0,0,0,0,0,0,0,0,.108,.063,.061,.086,2,1,14.14,9,2,0
1,0,0,0,0,0,0,0,0,.115,.075,.066,.086,2,1,58.5,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.05,.079,11,1,20.01,9,2,0
1,0,0,0,0,0,0,0,0,.108,.09,.05,.079,6,1,31.95,9,2,0
1,0,0,0,0,0,1,0,0,.108,.065,.061,.086,4,1,37.64,9,2,0
1,0,0,0,0,0,0,0,0,.11,.09,.049,.079,4,1,26.19,9,2,0
1,0,0,0,0,0,0,0,0,.108,.071,.061,.086,2,1,3.43,9,2,0
0,0,1,0,0,0,0,0,0,.108,.092,.05,.079,3,1,60.99,9,2,2
1,0,0,0,0,0,0,0,0,.108,.09,.05,.079,5,1,11.89,9,2,0
1,0,0,0,0,0,0,0,0,.098,.09,.049,.079,1,1,5.63,9,2,0
1,0,0,0,0,0,0,0,0,.098,.09,.049,.079,3,1,14.6,9,2,0
1,0,0,0,0,0,0,0,0,.11,.099,.067,.087,9,1,43.06,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,5,1,22.52,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,3,1,14.76,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.05,.079,5,1,38.53,9,2,0
1,0,0,0,0,0,0,0,0,.098,.09,.049,.079,8,1,51.6,9,2,0
1,0,0,0,0,0,0,0,0,.101,.09,.049,.079,6,1,8.92,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,5,1,4.46,9,2,0
1,0,0,0,0,0,0,0,0,.108,.077,.05,.079,4,1,14.8,9,2,0
1,0,0,0,0,0,0,0,0,.108,.074,.05,.079,3,1,34.56,9,2,0
0,0,1,0,0,0,0,0,0,.103,.081,.049,.079,4,1,20.79,9,2,1
1,0,0,0,0,0,0,0,0,.103,.09,.049,.079,6,1,14.82,9,2,0
1,0,0,0,0,0,1,0,0,.103,.082,.049,.079,2,1,59.37,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.081,5,1,28.99,9,2,0
1,0,0,0,0,0,0,0,0,.115,.09,.061,.081,1,1,12.32,9,2,0
1,0,0,0,0,0,0,0,0,.103,.081,.049,.079,1,1,1.59,9,2,0
1,0,0,0,0,0,0,0,0,.115,.09,.061,.081,1,1,10.23,9,2,0
1,0,0,0,0,0,0,0,0,.111,.093,.05,.082,6,1,55.49,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,1,1,1.29,9,2,0
1,0,0,0,0,0,0,0,0,.125,.09,.049,.079,6,1,36.49,9,2,0
1,0,0,0,0,0,0,0,0,.107,.09,.049,.079,8,1,14.59,9,2,0
1,0,0,0,0,0,0,0,0,.115,.09,.061,.081,5,1,11.11,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.05,.079,4,1,51.5,9,2,0
1,0,0,0,0,0,0,0,0,.112,.081,.066,.079,3,1,3.28,9,2,0
1,0,0,0,0,0,0,0,0,.108,.09,.049,.079,2,1,12.86,9,2,0
1,0,0,0,0,0,0,0,0,.108,.09,.049,.079,4,1,26.27,9,2,0
1,0,0,0,0,0,0,0,0,.115,.09,.049,.079,5,1,37.08,9,2,0
1,0,0,0,0,0,0,0,0,.108,.061,.05,.079,8,1,2.23,9,2,0
1,0,0,0,0,0,0,0,0,.115,.09,.049,.079,2,1,52.28,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.05,.079,3,1,27.17,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.081,8,1,11.48,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.086,2,1,17.97,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.05,.079,4,1,78.29,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.05,.079,1,1,133.64,9,2,0
1,0,0,0,0,0,0,1,0,.115,.081,.031,.079,8,1,13.99,9,2,0
1,0,0,0,0,0,1,0,0,.108,.042,.05,.079,3,1,18.4,9,2,0
1,0,0,0,0,0,1,0,0,.108,.043,.05,.079,3,1,13.17,9,2,0
1,0,0,0,0,0,0,0,0,.108,.081,.061,.081,1,1,18.76,9,2,0
1,0,0,0,0,0,0,0,0,.11,.081,.024,.079,2,1,20.15,9,2,0
1,0,0,0,0,0,0,0,0,.112,.084,.061,.083,1,1,26.27,9,2,0
1,0,0,0,0,0,0,0,0,.112,.084,.061,.083,6,1,20.38,9,2,0
1,0,0,0,0,0,0,0,0,.115,.086,.054,.079,5,1,41.98,9,2,0
1,0,0,0,0,0,0,0,0,.115,.086,.054,.079,1,1,14.59,9,2,0
1,0,0,0,0,0,0,0,0,.108,.068,.05,.079,2,1,29.13,9,2,0
1,0,0,0,0,0,0,0,0,.122,.086,.061,.086,3,1,12.77,9,2,0
1,0,0,0,0,0,0,0,0,.115,.086,.054,.079,3,1,25.33,9,2,0
1,0,0,0,0,0,0,0,0,.115,.086,.054,.079,9,1,52.44,9,2,0
1,0,0,0,0,0,0,0,0,.115,.086,.054,.079,4,1,3.48,9,2,0
1,0,0,0,0,0,0,0,0,.153,.075,.05,.09,1,1,26.16,9,2,0
1,0,0,0,0,0,1,0,0,.108,.044,.05,.079,4,1,10.16,9,2,0
1,0,0,0,0,0,0,0,0,.115,.086,.054,.079,1,1,35.15,9,2,0
1,0,0,0,0,0,0,0,0,.108,.053,.05,.079,6,1,44.63,9,2,0
1,0,0,0,0,0,0,0,0,.108,.063,.05,.079,6,1,12.64,9,2,0
1,0,0,0,0,0,0,0,0,.095,.086,.054,.079,2,1,59.49,9,2,0
1,0,0,0,0,0,0,1,0,.115,.086,.042,.086,3,1,9.53,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.054,.079,2,1,.77,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.054,.079,2,1,6.33,9,2,0
1,0,0,0,0,0,0,0,0,.108,.049,.05,.079,2,1,30.29,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.054,.079,1,1,8.27,9,2,0
1,0,0,0,0,0,0,0,0,.108,.086,.05,.079,13,1,108.07,9,2,0
